date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:59	19994/19994	---M--	200	added ('OK')	image/png	etag:%226740aafd-4e1a%22	https://www.bg87.com/images/design/inscription_paiement_perm.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/inscription_paiement_perm.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:33:01	74292/74292	---M--	200	added ('OK')	image/png	etag:%226740aafd-12234%22	https://www.bg87.com/images/design/recap_inscription.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/recap_inscription.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:33:02	73881/73881	---M--	200	added ('OK')	image/png	etag:%226740aafd-12099%22	https://www.bg87.com/images/design/recap_preinscription.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/recap_preinscription.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:33:03	133339/133339	---M--	200	added ('OK')	image/png	etag:%226740aafd-208db%22	https://www.bg87.com/images/design/symp_envoi.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/symp_envoi.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:33:04	134000/134000	---M--	200	added ('OK')	image/png	etag:%226740aafd-20b70%22	https://www.bg87.com/images/design/symp_sans_envoi.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/design/symp_sans_envoi.png	(from https://www.bg87.com/css/frontend.css?0eb13d4384d28c5bd79bc9ed183c5cb9)
18:33:04	4233/4233	---M--	200	added ('OK')	image/png	etag:%226740aafd-1089%22	https://www.bg87.com/images/slideShow/control_left.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/slideShow/control_left.png	(from https://www.bg87.com/css/slideShowNews.css)
18:33:05	4264/4264	---M--	200	added ('OK')	image/png	etag:%226740aafd-10a8%22	https://www.bg87.com/images/slideShow/control_left_hover.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/slideShow/control_left_hover.png	(from https://www.bg87.com/css/slideShowNews.css)
18:33:06	4209/4209	---M--	200	added ('OK')	image/png	etag:%226740aafd-1071%22	https://www.bg87.com/images/slideShow/control_right.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/slideShow/control_right.png	(from https://www.bg87.com/css/slideShowNews.css)
18:33:07	4260/4260	---M--	200	added ('OK')	image/png	etag:%226740aafd-10a4%22	https://www.bg87.com/images/slideShow/control_right_hover.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/slideShow/control_right_hover.png	(from https://www.bg87.com/css/slideShowNews.css)
18:33:08	4126/4126	---M--	200	added ('OK')	image/png	etag:%226740aafd-101e%22	https://www.bg87.com/images/slideShow/pause_slider.png	~Desktop/bg%20bg%20bg/www.bg87.com/images/slideShow/pause_slider.png	(from https://www.bg87.com/css/slideShowNews.css)
